CHROMATOGRAM	
MixtureinEtOH.raw	
Time	Intensity
0	364140
0.001666667	367610
0.003333333	367640
0.005	367260
0.006666667	362940
0.008333333	362780
0.01	372070
0.011666667	372680
0.013333333	371910
0.015	370950
0.016666667	370400
0.018333333	370470
0.02	371000
0.021666667	371040
0.023333333	371010
0.025	370570
0.026666667	370410
0.028333333	370220
0.03	370530
0.031666667	370280
0.033333333	370770
0.035	370380
0.036666667	370910
0.038333333	371130
0.04	371070
0.041666667	371210
0.043333333	371200
0.045	371150
0.046666667	371310
0.048333333	371480
0.05	371840
0.051666667	371750
0.053333333	372060
0.055	371750
0.056666667	371510
0.058333333	371920
0.06	371290
0.061666667	372400
0.063333333	372220
0.065	372190
0.066666667	371570
0.068333333	372240
0.07	371750
0.071666667	371430
0.073333333	371450
0.075	371970
0.076666667	371800
0.078333333	372250
0.08	372240
0.081666667	372510
0.083333333	360180
0.085	370910
0.086666667	371610
0.088333333	373730
0.09	373380
0.091666667	372830
0.093333333	373220
0.095	373120
0.096666667	372280
0.098333333	372020
0.1	371620
0.101666667	371770
0.103333333	371860
0.105	371880
0.106666667	371650
0.108333333	358360
0.11	371390
0.111666667	372010
0.113333333	371000
0.115	363090
0.116666667	367030
0.118333333	370860
0.12	370640
0.121666667	370100
0.123333333	370540
0.125	370320
0.126666667	369930
0.128333333	369370
0.13	369710
0.131666667	369410
0.133333333	369770
0.135	369780
0.136666667	370650
0.138333333	370690
0.14	370260
0.141666667	370510
0.143333333	369430
0.145	370270
0.146666667	369380
0.148333333	354050
0.15	365940
0.151666667	368110
0.153333333	370720
0.155	372050
0.156666667	371430
0.158333333	370940
0.16	370670
0.161666667	370580
0.163333333	370090
0.165	369990
0.166666667	369740
0.168333333	366610
0.17	357300
0.171666667	371060
0.173333333	368520
0.175	368040
0.176666667	370340
0.178333333	370030
0.18	369230
0.181666667	369670
0.183333333	369310
0.185	368980
0.186666667	368640
0.188333333	368370
0.19	368200
0.191666667	368150
0.193333333	368800
0.195	369240
0.196666667	369500
0.198333333	369940
0.2	370090
0.201666667	370280
0.203333333	370430
0.205	369820
0.206666667	369510
0.208333333	368830
0.21	368480
0.211666667	368020
0.213333333	367970
0.215	367960
0.216666667	368080
0.218333333	367920
0.22	367530
0.221666667	366960
0.223333333	366730
0.225	366640
0.226666667	367170
0.228333333	366690
0.23	366790
0.231666667	366270
0.233333333	366420
0.235	366460
0.236666667	366580
0.238333333	366970
0.24	365990
0.241666667	366630
0.243333333	367010
0.245	366870
0.246666667	366420
0.248333333	366830
0.25	366790
0.251666667	367130
0.253333333	367570
0.255	367150
0.256666667	366680
0.258333333	365990
0.26	366610
0.261666667	366920
0.263333333	367290
0.265	367150
0.266666667	367360
0.268333333	367200
0.27	367460
0.271666667	367110
0.273333333	367060
0.275	367050
0.276666667	367120
0.278333333	366910
0.28	366810
0.281666667	366790
0.283333333	367090
0.285	367460
0.286666667	367750
0.288333333	368710
0.29	369200
0.291666667	369720
0.293333333	369750
0.295	369650
0.296666667	369430
0.298333333	369670
0.3	369710
0.301666667	370140
0.303333333	370630
0.305	370660
0.306666667	370980
0.308333333	371750
0.31	371640
0.311666667	371910
0.313333333	371680
0.315	371520
0.316666667	371390
0.318333333	371220
0.32	371000
0.321666667	370430
0.323333333	370180
0.325	370320
0.326666667	370140
0.328333333	369750
0.33	370020
0.331666667	370340
0.333333333	370640
0.335	370720
0.336666667	370890
0.338333333	371040
0.34	370850
0.341666667	371330
0.343333333	371190
0.345	371410
0.346666667	371100
0.348333333	371360
0.35	371560
0.351666667	371670
0.353333333	371680
0.355	372110
0.356666667	372220
0.358333333	372020
0.36	372340
0.361666667	372460
0.363333333	372660
0.365	372810
0.366666667	372460
0.368333333	372730
0.37	372800
0.371666667	373330
0.373333333	372910
0.375	372810
0.376666667	372240
0.378333333	372320
0.38	372180
0.381666667	372370
0.383333333	372700
0.385	372960
0.386666667	372920
0.388333333	373000
0.39	373370
0.391666667	373390
0.393333333	373300
0.395	373120
0.396666667	372860
0.398333333	373160
0.4	373390
0.401666667	373590
0.403333333	373360
0.405	373460
0.406666667	372900
0.408333333	373040
0.41	372930
0.411666667	373290
0.413333333	373210
0.415	373160
0.416666667	373180
0.418333333	373240
0.42	373240
0.421666667	373390
0.423333333	373280
0.425	372990
0.426666667	372390
0.428333333	372150
0.43	372060
0.431666667	371490
0.433333333	371190
0.435	371220
0.436666667	371120
0.438333333	371550
0.44	370970
0.441666667	370650
0.443333333	370470
0.445	370230
0.446666667	369560
0.448333333	369960
0.45	370000
0.451666667	369700
0.453333333	369380
0.455	369290
0.456666667	369060
0.458333333	369200
0.46	369260
0.461666667	369010
0.463333333	369180
0.465	369430
0.466666667	369250
0.468333333	370350
0.47	371090
0.471666667	370420
0.473333333	371220
0.475	371020
0.476666667	371190
0.478333333	370820
0.48	370460
0.481666667	370800
0.483333333	371140
0.485	371180
0.486666667	371270
0.488333333	371630
0.49	371570
0.491666667	372070
0.493333333	373150
0.495	373720
0.496666667	373240
0.498333333	373480
0.5	373130
0.501666667	373190
0.503333333	372960
0.505	372860
0.506666667	372430
0.508333333	371740
0.51	371220
0.511666667	370660
0.513333333	370370
0.515	371100
0.516666667	371200
0.518333333	371170
0.52	370990
0.521666667	370730
0.523333333	370220
0.525	369650
0.526666667	370190
0.528333333	370140
0.53	369980
0.531666667	369050
0.533333333	369820
0.535	370000
0.536666667	369530
0.538333333	369130
0.54	369330
0.541666667	369360
0.543333333	369850
0.545	369990
0.546666667	369970
0.548333333	370170
0.55	370520
0.551666667	370530
0.553333333	370870
0.555	371380
0.556666667	371870
0.558333333	372020
0.56	372010
0.561666667	371140
0.563333333	371040
0.565	370560
0.566666667	370380
0.568333333	370100
0.57	370570
0.571666667	369990
0.573333333	369950
0.575	369270
0.576666667	369780
0.578333333	369780
0.58	369340
0.581666667	369410
0.583333333	368730
0.585	368600
0.586666667	369040
0.588333333	368640
0.59	369040
0.591666667	369130
0.593333333	369530
0.595	369340
0.596666667	370070
0.598333333	370610
0.6	371280
0.601666667	370830
0.603333333	371080
0.605	370980
0.606666667	370980
0.608333333	370560
0.61	371150
0.611666667	371190
0.613333333	371720
0.615	371500
0.616666667	371120
0.618333333	370810
0.62	371020
0.621666667	371020
0.623333333	370590
0.625	370470
0.626666667	370180
0.628333333	369920
0.63	369980
0.631666667	369820
0.633333333	369290
0.635	369770
0.636666667	370240
0.638333333	369840
0.64	369890
0.641666667	369530
0.643333333	369250
0.645	369490
