CHROMATOGRAM	
Unknown2inEtOH.raw	
Data points: 11180	
Time	Intensity
0	398590
0.001666667	398430
0.003333333	399030
0.005	399790
0.006666667	400110
0.008333333	400170
0.01	400630
0.011666667	400380
0.013333333	400250
0.015	400360
0.016666667	400330
0.018333333	400220
0.02	399620
0.021666667	399460
0.023333333	399380
0.025	399540
0.026666667	399350
0.028333333	399190
0.03	398950
0.031666667	398670
0.033333333	398460
0.035	398530
0.036666667	398400
0.038333333	398240
0.04	398210
0.041666667	398210
0.043333333	398280
0.045	398310
0.046666667	398270
0.048333333	398380
0.05	398520
0.051666667	398960
0.053333333	398830
0.055	399110
0.056666667	399070
0.058333333	399020
0.06	399040
0.061666667	399100
0.063333333	399120
0.065	399450
0.066666667	399250
0.068333333	399420
0.07	399290
0.071666667	399470
0.073333333	399240
0.075	399420
0.076666667	399390
0.078333333	399530
0.08	399310
0.081666667	399320
0.083333333	399200
0.085	399170
0.086666667	399170
0.088333333	399540
0.09	399970
0.091666667	399290
0.093333333	399160
0.095	399150
0.096666667	399240
0.098333333	398790
0.1	398900
0.101666667	399290
0.103333333	399310
0.105	399390
0.106666667	399330
0.108333333	399430
0.11	399600
0.111666667	399620
0.113333333	399720
0.115	399770
0.116666667	399220
0.118333333	399310
0.12	399100
0.121666667	399720
0.123333333	399070
0.125	399080
0.126666667	399290
0.128333333	399300
0.13	399360
0.131666667	399490
0.133333333	399420
0.135	399380
0.136666667	399560
0.138333333	399650
0.14	399730
0.141666667	399860
0.143333333	399740
0.145	399870
0.146666667	399510
0.148333333	399220
0.15	398980
0.151666667	399230
0.153333333	400060
0.155	399580
0.156666667	399570
0.158333333	399630
0.16	399370
0.161666667	399190
0.163333333	399340
0.165	399310
0.166666667	399190
0.168333333	399320
0.17	399480
0.171666667	399280
0.173333333	399090
0.175	399730
0.176666667	398790
0.178333333	399440
0.18	399410
0.181666667	399560
0.183333333	399520
0.185	399670
0.186666667	399700
0.188333333	399410
0.19	399270
0.191666667	399350
0.193333333	399630
0.195	399670
0.196666667	399640
0.198333333	399570
0.2	399680
0.201666667	399340
0.203333333	399170
0.205	399050
0.206666667	399250
0.208333333	399190
0.21	398930
0.211666667	398780
