CHROMATOGRAM	
VanillinEtOH.raw	
Data points: 12380	
Time	Intensity
0	382200
0.001666667	381460
0.003333333	380860
0.005	381130
0.006666667	381160
0.008333333	383750
0.01	382360
0.011666667	382530
0.013333333	382350
0.015	382420
0.016666667	382260
0.018333333	382200
0.02	381990
0.021666667	381670
0.023333333	382270
0.025	382710
0.026666667	382770
0.028333333	382680
0.03	382740
0.031666667	382660
0.033333333	382680
0.035	383250
0.036666667	383690
0.038333333	383670
0.04	383480
0.041666667	383700
0.043333333	383680
0.045	383760
0.046666667	383560
0.048333333	383690
0.05	383840
0.051666667	383760
0.053333333	383730
0.055	384250
0.056666667	384270
0.058333333	383910
0.06	384270
0.061666667	383970
0.063333333	384200
0.065	384290
0.066666667	384310
0.068333333	384270
0.07	384250
0.071666667	384310
0.073333333	384410
0.075	384310
0.076666667	384210
0.078333333	384310
0.08	384100
0.081666667	384120
0.083333333	384190
0.085	384250
0.086666667	384430
0.088333333	385660
0.09	383930
0.091666667	383610
0.093333333	383760
0.095	384150
0.096666667	384210
0.098333333	383890
0.1	383940
0.101666667	384140
0.103333333	384000
0.105	383460
0.106666667	383080
0.108333333	382920
0.11	382810
0.111666667	382580
0.113333333	382630
0.115	382850
0.116666667	382930
0.118333333	384660
0.12	383510
0.121666667	383430
0.123333333	383630
0.125	384270
0.126666667	383550
0.128333333	383100
0.13	383230
0.131666667	383170
0.133333333	383050
0.135	383060
0.136666667	383040
0.138333333	383050
0.14	383170
0.141666667	383270
0.143333333	383450
0.145	383070
0.146666667	383310
0.148333333	383300
0.15	383360
0.151666667	382880
0.153333333	382740
0.155	382650
0.156666667	382640
0.158333333	384400
0.16	383350
0.161666667	382600
0.163333333	382520
0.165	382510
0.166666667	382460
0.168333333	382590
0.17	382720
0.171666667	382830
0.173333333	382900
0.175	384930
0.176666667	382940
0.178333333	383390
0.18	382730
0.181666667	382600
0.183333333	382630
0.185	382730
0.186666667	382940
0.188333333	382710
0.19	382670
0.191666667	382790
0.193333333	382920
0.195	383130
0.196666667	383250
0.198333333	383550
0.2	383490
0.201666667	383550
0.203333333	383690
0.205	383710
0.206666667	383860
0.208333333	384180
0.21	384160
0.211666667	384080
0.213333333	383860
0.215	383590
0.216666667	383700
0.218333333	383770
0.22	384020
0.221666667	384350
0.223333333	384600
0.225	384510
0.226666667	384570
0.228333333	384230
0.23	384050
0.231666667	384060
0.233333333	384130
0.235	384250
0.236666667	384490
0.238333333	384340
0.24	384180
0.241666667	384380
0.243333333	384480
0.245	384680
0.246666667	384570
0.248333333	384800
0.25	384880
0.251666667	384790
0.253333333	384440
0.255	384110
0.256666667	383990
0.258333333	384070
0.26	383950
0.261666667	384080
0.263333333	384140
0.265	384290
0.266666667	384480
0.268333333	384540
0.27	384540
0.271666667	384640
0.273333333	384790
0.275	384720
0.276666667	384650
0.278333333	384600
0.28	384210
0.281666667	384080
0.283333333	383870
0.285	383780
0.286666667	384010
0.288333333	384180
0.29	383920
0.291666667	383810
0.293333333	384010
0.295	383910
0.296666667	383930
0.298333333	383900
0.3	384010
0.301666667	384060
0.303333333	383940
0.305	383940
0.306666667	383790
0.308333333	383730
0.31	383830
0.311666667	384010
0.313333333	383970
0.315	383900
0.316666667	383870
0.318333333	383730
0.32	383630
0.321666667	383600
0.323333333	383680
0.325	383840
0.326666667	383890
0.328333333	383790
0.33	383780
0.331666667	383730
0.333333333	383480
0.335	383640
0.336666667	383740
0.338333333	383520
0.34	383690
0.341666667	383300
0.343333333	383470
0.345	383580
0.346666667	383380
0.348333333	383550
0.35	383570
0.351666667	383900
0.353333333	384060
0.355	383920
0.356666667	383980
0.358333333	384040
0.36	384180
0.361666667	384370
0.363333333	384250
0.365	384250
0.366666667	384290
0.368333333	384060
0.37	384090
0.371666667	383950
0.373333333	383800
0.375	383750
0.376666667	384080
0.378333333	384440
0.38	384880
0.381666667	385090
0.383333333	385280
0.385	385150
0.386666667	385010
0.388333333	385170
0.39	385040
0.391666667	385060
0.393333333	385260
0.395	385360
0.396666667	385310
0.398333333	385620
0.4	385550
0.401666667	385740
0.403333333	385570
0.405	385530
0.406666667	385350
0.408333333	385470
0.41	385400
0.411666667	385380
0.413333333	385090
0.415	385130
0.416666667	385220
0.418333333	385050
0.42	385020
0.421666667	385050
0.423333333	385350
0.425	385390
0.426666667	385160
0.428333333	384790
0.43	385050
0.431666667	384970
0.433333333	385150
0.435	385150
0.436666667	385000
0.438333333	385210
0.44	385130
0.441666667	384990
0.443333333	384720
0.445	384620
0.446666667	384480
0.448333333	384500
0.45	384430
0.451666667	384620
0.453333333	384610
0.455	384510
0.456666667	384760
0.458333333	384860
0.46	384660
0.461666667	384550
0.463333333	384710
0.465	385010
0.466666667	385410
0.468333333	385390
0.47	385740
0.471666667	386040
0.473333333	386490
0.475	386660
0.476666667	386360
0.478333333	386020
0.48	385930
0.481666667	386080
0.483333333	386110
0.485	386190
0.486666667	386150
0.488333333	386110
0.49	385990
0.491666667	385930
0.493333333	385810
0.495	385580
0.496666667	385380
0.498333333	385400
0.5	385680
0.501666667	385700
0.503333333	385610
0.505	385560
0.506666667	385770
0.508333333	385590
0.51	385800
0.511666667	386070
0.513333333	386470
0.515	386430
0.516666667	386350
0.518333333	386260
0.52	386180
0.521666667	386320
0.523333333	386360
0.525	386000
0.526666667	386160
0.528333333	386450
0.53	386550
0.531666667	386790
0.533333333	386780
0.535	386510
0.536666667	386430
0.538333333	386500
0.54	386700
0.541666667	386800
0.543333333	386860
0.545	386920
0.546666667	386880
0.548333333	387180
0.55	387230
0.551666667	387190
0.553333333	387210
0.555	387130
0.556666667	387290
0.558333333	387530
0.56	387570
0.561666667	387530
0.563333333	387580
0.565	387520
0.566666667	387410
0.568333333	387600
0.57	387680
0.571666667	387410
0.573333333	387240
0.575	387220
0.576666667	387210
0.578333333	386850
0.58	386470
0.581666667	386340
0.583333333	386200
0.585	386070
0.586666667	386080
0.588333333	385990
0.59	386180
0.591666667	386110
0.593333333	385870
0.595	385770
0.596666667	385360
0.598333333	385460
0.6	385330
0.601666667	385290
0.603333333	385250
0.605	385210
0.606666667	385570
0.608333333	385860
0.61	385840
0.611666667	386240
0.613333333	386280
0.615	386370
0.616666667	386240
0.618333333	386400
0.62	386500
0.621666667	386480
0.623333333	386590
0.625	386690
0.626666667	386600
0.628333333	386330
0.63	386410
0.631666667	386550
0.633333333	386400
0.635	386200
0.636666667	386140
0.638333333	386150
0.64	386250
0.641666667	386420
0.643333333	386580
0.645	386560
0.646666667	386340
0.648333333	386290
0.65	386370
0.651666667	386330
0.653333333	386460
0.655	386250
0.656666667	386380
0.658333333	386170
0.66	386060
0.661666667	386000
0.663333333	385770
0.665	385600
0.666666667	385460
0.668333333	385450
0.67	385440
0.671666667	385310
0.673333333	385250
0.675	385090
0.676666667	385180
0.678333333	385280
0.68	385240
0.681666667	385410
0.683333333	385350
0.685	385220
0.686666667	385350
0.688333333	385550
0.69	385580
0.691666667	385520
0.693333333	385420
0.695	385370
0.696666667	385390
0.698333333	385540
0.7	385560
0.701666667	385610
0.703333333	385950
0.705	386110
0.706666667	386410
0.708333333	386700
0.71	386590
0.711666667	386700
0.713333333	387100
0.715	387160
0.716666667	387330
0.718333333	387610
0.72	387960
0.721666667	387730
0.723333333	387930
0.725	387820
0.726666667	387810
0.728333333	387870
0.73	387780
0.731666667	387870
0.733333333	388000
0.735	388460
0.736666667	388330
0.738333333	388240
0.74	388310
0.741666667	388280
0.743333333	388260
0.745	388280
0.746666667	388190
0.748333333	388320
0.75	388010
0.751666667	388070
0.753333333	388280
0.755	388270
0.756666667	388310
0.758333333	388440
0.76	388550
0.761666667	388420
0.763333333	388530
0.765	388560
